Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
43,1,N-tert-butyl-N-isopropylformamide,0.2,oct-4-yne,0.4,"(R)-1-(tert-butyl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one","6-(tert-butyl)-1-isopropyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.46,0.9,0.47,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
44,1,"N-((1R,3S,5r,7r)-adamantan-2-yl)-N-isopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-((1R,3S,5R,7R)-adamantan-2-yl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.65,0.82,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
45,1,"N-(4,4-dimethylcyclohexyl)-N-isopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-(4,4-dimethylcyclohexyl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.56,0.92,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
46,1,"N-(2,2-dimethyl-1,3-dioxan-5-yl)-N-isopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-(2,2-dimethyl-1,3-dioxan-5-yl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.75,0.92,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
47,1,"N-isopropyl-N-(2,4,6-trimethylbenzyl)formamide",0.2,oct-4-yne,0.4,"(R)-6-methyl-3,4-dipropyl-1-(2,4,6-trimethylbenzyl)-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.46,0.74,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
48,1,N-benzhydryl-N-isopropylformamide,0.2,oct-4-yne,0.4,"(R)-1-benzhydryl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.45,0.93,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
49,1,"N-(1,3-diphenylpropan-2-yl)-N-isopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-(1,3-diphenylpropan-2-yl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.55,0.9,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
50,1,"2,2,6,6-tetramethylpiperidine-1-carbaldehyde",0.2,oct-4-yne,0.4,"(S)-6,6,9a-trimethyl-2,3-dipropyl-1,6,7,8,9,9a-hexahydro-4H-quinolizin-4-one",,,S,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L5,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.4,0.74,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
51,1,"3,3-dimethylmorpholine-4-carbaldehyde",0.2,oct-4-yne,0.4,"(R)-9a-methyl-7,8-dipropyl-3,4,9,9a-tetrahydropyrido[2,1-c][1,4]oxazin-6(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.42,0.7,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
52,1,"N,N-dicyclohexylformamide",0.2,oct-4-yne,0.4,"(4aR,8aR)-1-cyclohexyl-3,4-dipropyl-4a,5,6,7,8,8a-hexahydroquinolin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L6,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.9,0.85,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
53,1,"N,N-dicycloheptylformamide",0.2,oct-4-yne,0.4,"(4aR,9aR)-1-cycloheptyl-3,4-dipropyl-1,4a,5,6,7,8,9,9a-octahydro-2H-cyclohepta[b]pyridin-2-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L6,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.95,0.85,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
54,1,N-isopropyl-N-phenylformamide,0.2,oct-4-yne,0.4,(E)-N-isopropyl-N-phenyl-2-propylhex-2-enamide,,,,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.9,,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
55,1,"N-(2,6-diisopropylphenyl)-N-isopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-(2,6-diisopropylphenyl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.25,0.7,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
56,1,"N-(2,6-difluorophenyl)-N-isopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-(2,6-difluorophenyl)-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.4,0.47,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
57,1,N-benzyl-N-isopropylformamide,0.2,oct-4-yne,0.4,"(R)-1-benzyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.18,0.73,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
