,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
29,[H]C(N(C(C)C)C(C)C)=O,CC1=CC=CC(C#CC2=CC=CC(C)=C2)=C1,C[C@H](CC(C1=CC(C)=CC=C1)=C2C3=CC=CC(C)=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.62,0.5,0,,,Ni,,,0.2,,2,,True,,30,,0,,,,P,,,,,,,0.91,,,,1,,,0.4
30,[H]C(N(C(C)C)C(C)C)=O,CC(C=CC=C1)=C1C#CC2=CC=CC=C2C,C[C@H](CC(C1=C(C)C=CC=C1)=C2C3=CC=CC=C3C)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.69,0.5,0,,,Ni,,,0.2,,2,,True,,31,,0,,,,P,,,,,,,0.9,,,,1,,,0.4
31,[H]C(N(C(C)C)C(C)C)=O,CC(C(C=C1)=CC=C1C#CC2=CC=C(C(C)(C)C)C=C2)(C)C,C[C@H](CC(C1=CC=C(C(C)(C)C)C=C1)=C2C3=CC=C(C(C)(C)C)C=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.93,0.5,0,,,Ni,,,0.2,,2,,True,,32,,0,,,,P,,,,,,,0.9,,,,1,,,0.4
32,[H]C(N(C(C)C)C(C)C)=O,COC(C=C1)=CC=C1C#CC2=CC=C(OC)C=C2,C[C@H](CC(C1=CC=C(OC)C=C1)=C2C3=CC=C(OC)C=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.78,0.5,0,,,Ni,,,0.2,,2,,True,,33,,0,,,,P,,,,,,,0.92,,,,1,,,0.4
33,[H]C(N(C(C)C)C(C)C)=O,FC(OC(C=C1)=CC=C1C#CC2=CC=C(OC(F)(F)F)C=C2)(F)F,C[C@H](CC(C1=CC=C(OC(F)(F)F)C=C1)=C2C3=CC=C(OC(F)(F)F)C=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.54,0.5,0,,,Ni,,,0.2,,2,,True,,34,,0,,,,P,,,,,,,0.92,,,,1,,,0.4
34,[H]C(N(C(C)C)C(C)C)=O,FC(C=C1)=CC=C1C#CC2=CC=C(F)C=C2,C[C@H](CC(C1=CC=C(F)C=C1)=C2C3=CC=C(F)C=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.63,0.5,0,,,Ni,,,0.2,,2,,True,,35,,0,,,,P,,,,,,,0.95,,,,1,,,0.4
35,[H]C(N(C(C)C)C(C)C)=O,FC1=CC=CC(C#CC2=CC=CC(F)=C2)=C1,C[C@H](CC(C1=CC(F)=CC=C1)=C2C3=CC=CC(F)=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.53,0.5,0,,,Ni,,,0.2,,2,,True,,36,,0,,,,P,,,,,,,0.9,,,,1,,,0.4
36,[H]C(N(C(C)C)C(C)C)=O,FC(C=CC=C1)=C1C#CC2=CC=CC=C2F,C[C@H](CC(C1=C(F)C=CC=C1)=C2C3=CC=CC=C3F)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.84,0.5,0,,,Ni,,,0.2,,2,,True,,37,,0,,,,P,,,,,,,0.91,,,,1,,,0.4
37,[H]C(N(C(C)C)C(C)C)=O,CN(C=C1)C2=C1C=CC(C#CC3=CC=C(N(C)C=C4)C4=C3)=C2,C[C@H](CC(C1=CC=C(N(C)C=C2)C2=C1)=C3C4=CC(N(C)C=C5)=C5C=C4)N(C(C)C)C3=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.48,0.5,0,,,Ni,,,0.2,,2,,True,,38,,0,,,,P,,,,,,,0.93,,,,1,,,0.4
38,[H]C(N(C(C)C)C(C)C)=O,C1(C#CC2=CSC=C2)=CSC=C1,C[C@H](CC(C1=CSC=C1)=C2C3=CSC=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.4,0.5,0,,,Ni,,,0.2,,2,,True,,39,,0,,,,P,,,,,,,0.9,,,,1,,,0.4
