Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product 1 R or S,Product 2 R or S,Solvent 2,Solvent 1,Solvent Ratio,Solvent 1 ammount(mL),Additive 1,Ammount of additive 1,Additive 1 step 2,Additive 2,Ammount of additive 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms,Type of Coordination Atoms,Reaction Time/h,Reaction Temperature/C,Yield 1,ee 1,Yield 2,ee 2,dr 1,Pressure/atm,S/C 1,L/M 1,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
29,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.1,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.35,0.94,0.32,0.98,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
30,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.55,,0.37,0.98,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
31,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,Toluene,,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.98,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
32,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,Methanol,,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.98,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
33,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,n-hexane,,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.96,,,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
34,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,Acetonitrile,,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.48,,0.37,0.94,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
35,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,Tetrahydrofuran,,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.91,,0.07,0.98,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
36,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,"1,1-dichloroethane",,0.3,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.96,,trace,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
37,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,cesium carbonate,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.0058,,0.1,0.17,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
38,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,potassium carbonate,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.00032,,0.42,0.11,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
39,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,potassium phosphate heptahydrate,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.0068,,0.23,0.04,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
40,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,sodium hydrogen carbonate,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.45,,0.4,0.99,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
41,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,"N,N-dimethylpyridin-4-amine",1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.91,,,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
42,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,N-ethyl-N-isopropylpropan-2-amine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.38,,0.44,0.99,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
43,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,0.3,tributylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiPr3,Ni,2,0,,4,"O,O,O,O",48,50,0.67,,0.37,0.99,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
