Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,exo/endo,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
44,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(R)-19,Rh,0,0,,2,"P,N",,,,,,,,,,39,80,,,,,26:74,0.59,,,0.1,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
45,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(R)-20,Rh,0,0,,2,"P,N",,,,,,,,,,17,80,,,,,,,,,,,,,,,,20,,1.1,,10.1002_adsc.200600583,10.1002_adsc.200600583,
46,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-27,Rh,0,0,,2,"P,N",,,,,,,,,,0.5,80,,,,,5:95,0.96,,,0.39,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
47,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-23,Rh,0,0,,2,"P,O",,,,,,,,,,3.5,80,,,,,19:81,0.98,,,0.05,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
48,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"(S,S)-24",Rh,0,0,,2,"P,O",,,,,,,,,,1.2,80,,,,,3:97,0.99,,,0.13,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
49,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"(S,R)-24",Rh,0,0,,2,"P,O",,,,,,,,,,1.2,80,,,,,4:96,0.99,,,-0.1,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
50,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"(R,R)-25",Rh,0,0,,2,"P,N",,,,,,,,,,4,80,,,,,48:52,0.95,0.34,,0.13,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
51,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"(R,R)-26",Rh,0,0,,2,"P,N",,,,,,,,,,1.5,80,,,,,1:99,0.93,,,-0.44,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
52,3,"3,5-dichloro-2-hydroxybenzaldehyde",0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(3,5-dichloro-2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(3,5-dichloro-2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,0.5,80,,,,,9:91,0.97,-0.72,,0.42,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
53,3,2-hydroxy-5-nitrobenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxy-5-nitrophenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxy-5-nitrophenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,0.5,80,,,,,5:95,0.81,-0.74,,0.37,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
54,3,2-hydroxy-5-nitrobenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxy-5-nitrophenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxy-5-nitrophenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(nbd)2BF4],(S)-8,Rh,1,0,,1,P,,,,,,,,,,13,80,,,,,9:91,0.97,-0.94,,0.4,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
55,3,"2-amino-3,5-dibromobenzaldehyde",0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"(2-amino-3,5-dibromophenyl)((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)methanone","(2-amino-3,5-dibromophenyl)((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,14,80,,,,,5:95,0.92,,,0.41,,,,,,,5,,0.5,,10.1002_adsc.200600583,10.1002_adsc.200600583,
56,3,2-hydroxy-1-naphthaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxynaphthalen-1-yl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxynaphthalen-1-yl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,0.7,80,,,,,3:97,0.99,,,0.32,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
57,3,2-hydroxy-5-methylbenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxy-5-methylphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxy-5-methylphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,1,80,,,,,2:98,0.99,,,0.11,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
58,3,"3,5-di-tert-butyl-2-hydroxybenzaldehyde",0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(3,5-di-tert-butyl-2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(3,5-di-tert-butyl-2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(dpm)(cod)],(S)-8,Rh,0,0,,1,P,,,,,,,,,,19,80,,,,,4:96,0.92,,,0.35,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
59,3,"2,3-dihydroxybenzaldehyde",0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2,3-dihydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2,3-dihydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,1,80,,,,,5:95,0.98,,,0.54,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
60,3,picolinaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(pyridin-2-yl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(pyridin-2-yl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,39,80,,,,,,,,,,,,,,,,5,,0.5,,10.1002_adsc.200600583,10.1002_adsc.200600583,
61,3,2-methoxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-methoxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-methoxy-5-methylphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,39,80,,,,,,,,,,,,,,,,5,,0.5,,10.1002_adsc.200600583,10.1002_adsc.200600583,
